GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HC01_EST_VC01,Total; Estimate; Foreign-born population
HC01_MOE_VC01,Total; Margin of Error; Foreign-born population
HC02_EST_VC01,Foreign born; Entered 2010 or later; Estimate; Foreign-born population
HC02_MOE_VC01,Foreign born; Entered 2010 or later; Margin of Error; Foreign-born population
HC03_EST_VC01,Foreign born; Entered 2000 to 2009; Estimate; Foreign-born population
HC03_MOE_VC01,Foreign born; Entered 2000 to 2009; Margin of Error; Foreign-born population
HC04_EST_VC01,Foreign born; Entered before 2000; Estimate; Foreign-born population
HC04_MOE_VC01,Foreign born; Entered before 2000; Margin of Error; Foreign-born population
HC01_EST_VC03,Total; Estimate; CITIZENSHIP - Naturalized citizen
HC01_MOE_VC03,Total; Margin of Error; CITIZENSHIP - Naturalized citizen
HC02_EST_VC03,Foreign born; Entered 2010 or later; Estimate; CITIZENSHIP - Naturalized citizen
HC02_MOE_VC03,Foreign born; Entered 2010 or later; Margin of Error; CITIZENSHIP - Naturalized citizen
HC03_EST_VC03,Foreign born; Entered 2000 to 2009; Estimate; CITIZENSHIP - Naturalized citizen
HC03_MOE_VC03,Foreign born; Entered 2000 to 2009; Margin of Error; CITIZENSHIP - Naturalized citizen
HC04_EST_VC03,Foreign born; Entered before 2000; Estimate; CITIZENSHIP - Naturalized citizen
HC04_MOE_VC03,Foreign born; Entered before 2000; Margin of Error; CITIZENSHIP - Naturalized citizen
HC01_EST_VC04,Total; Estimate; CITIZENSHIP - Not a citizen
HC01_MOE_VC04,Total; Margin of Error; CITIZENSHIP - Not a citizen
HC02_EST_VC04,Foreign born; Entered 2010 or later; Estimate; CITIZENSHIP - Not a citizen
HC02_MOE_VC04,Foreign born; Entered 2010 or later; Margin of Error; CITIZENSHIP - Not a citizen
HC03_EST_VC04,Foreign born; Entered 2000 to 2009; Estimate; CITIZENSHIP - Not a citizen
HC03_MOE_VC04,Foreign born; Entered 2000 to 2009; Margin of Error; CITIZENSHIP - Not a citizen
HC04_EST_VC04,Foreign born; Entered before 2000; Estimate; CITIZENSHIP - Not a citizen
HC04_MOE_VC04,Foreign born; Entered before 2000; Margin of Error; CITIZENSHIP - Not a citizen
HC01_EST_VC07,Total; Estimate; WORLD REGION OF BIRTH OF FOREIGN BORN - Foreign-born population excluding population born at sea
HC01_MOE_VC07,Total; Margin of Error; WORLD REGION OF BIRTH OF FOREIGN BORN - Foreign-born population excluding population born at sea
HC02_EST_VC07,Foreign born; Entered 2010 or later; Estimate; WORLD REGION OF BIRTH OF FOREIGN BORN - Foreign-born population excluding population born at sea
HC02_MOE_VC07,Foreign born; Entered 2010 or later; Margin of Error; WORLD REGION OF BIRTH OF FOREIGN BORN - Foreign-born population excluding population born at sea
HC03_EST_VC07,Foreign born; Entered 2000 to 2009; Estimate; WORLD REGION OF BIRTH OF FOREIGN BORN - Foreign-born population excluding population born at sea
HC03_MOE_VC07,Foreign born; Entered 2000 to 2009; Margin of Error; WORLD REGION OF BIRTH OF FOREIGN BORN - Foreign-born population excluding population born at sea
HC04_EST_VC07,Foreign born; Entered before 2000; Estimate; WORLD REGION OF BIRTH OF FOREIGN BORN - Foreign-born population excluding population born at sea
HC04_MOE_VC07,Foreign born; Entered before 2000; Margin of Error; WORLD REGION OF BIRTH OF FOREIGN BORN - Foreign-born population excluding population born at sea
HC01_EST_VC08,Total; Estimate; WORLD REGION OF BIRTH OF FOREIGN BORN - Europe
HC01_MOE_VC08,Total; Margin of Error; WORLD REGION OF BIRTH OF FOREIGN BORN - Europe
HC02_EST_VC08,Foreign born; Entered 2010 or later; Estimate; WORLD REGION OF BIRTH OF FOREIGN BORN - Europe
HC02_MOE_VC08,Foreign born; Entered 2010 or later; Margin of Error; WORLD REGION OF BIRTH OF FOREIGN BORN - Europe
HC03_EST_VC08,Foreign born; Entered 2000 to 2009; Estimate; WORLD REGION OF BIRTH OF FOREIGN BORN - Europe
HC03_MOE_VC08,Foreign born; Entered 2000 to 2009; Margin of Error; WORLD REGION OF BIRTH OF FOREIGN BORN - Europe
HC04_EST_VC08,Foreign born; Entered before 2000; Estimate; WORLD REGION OF BIRTH OF FOREIGN BORN - Europe
HC04_MOE_VC08,Foreign born; Entered before 2000; Margin of Error; WORLD REGION OF BIRTH OF FOREIGN BORN - Europe
HC01_EST_VC09,Total; Estimate; WORLD REGION OF BIRTH OF FOREIGN BORN - Asia
HC01_MOE_VC09,Total; Margin of Error; WORLD REGION OF BIRTH OF FOREIGN BORN - Asia
HC02_EST_VC09,Foreign born; Entered 2010 or later; Estimate; WORLD REGION OF BIRTH OF FOREIGN BORN - Asia
HC02_MOE_VC09,Foreign born; Entered 2010 or later; Margin of Error; WORLD REGION OF BIRTH OF FOREIGN BORN - Asia
HC03_EST_VC09,Foreign born; Entered 2000 to 2009; Estimate; WORLD REGION OF BIRTH OF FOREIGN BORN - Asia
HC03_MOE_VC09,Foreign born; Entered 2000 to 2009; Margin of Error; WORLD REGION OF BIRTH OF FOREIGN BORN - Asia
HC04_EST_VC09,Foreign born; Entered before 2000; Estimate; WORLD REGION OF BIRTH OF FOREIGN BORN - Asia
HC04_MOE_VC09,Foreign born; Entered before 2000; Margin of Error; WORLD REGION OF BIRTH OF FOREIGN BORN - Asia
HC01_EST_VC10,Total; Estimate; WORLD REGION OF BIRTH OF FOREIGN BORN - Africa
